Latitude,Longitude,Road_Surface_Friction,Traffic_Density,HCV_Ratio,Speed_Limit_Breaches,Rash_Driving_Incidents,Accident_Risk_Label,Hour,Weather_Fine,Weather_Heavy Rain,Weather_Mist/Fog,Road_Curvature_Slight Curve,Road_Curvature_Straight,Lighting_Dusk,Lighting_Night-Lit,Lighting_Night-Unlit,Surface_Condition_Severe Potholes,Surface_Condition_Smooth,Historical_Accident_Cause_Potholes,Historical_Accident_Cause_Speeding,News_Sentiment_Neutral,News_Sentiment_Positive (Safe)
19.14766835075113,72.93530973562983,-1.1185527715311259,-1.1638603093908875,0.47389848018882147,0.9217027215605976,-1.1336118155651969,0,-0.9221732498301023,False,False,True,True,False,False,True,False,False,True,False,False,False,True
19.14892241253436,72.87642055812871,1.3510004953379162,1.1417399130538097,-1.351884066089224,0.4358410529835468,0.258283591467506,0,0.3772723816824889,True,False,False,False,False,False,False,False,False,False,False,False,True,False
19.186996073268272,72.94078309194074,0.5495092262012444,-0.045759867068208254,1.1302599771483401,-0.952335142950884,-0.6116510379279333,0,-1.3553217936676327,True,False,False,True,False,False,False,True,False,True,False,False,True,False
19.25067561380931,72.88922407176928,1.594951011232841,0.3320809720615247,-1.2402270439566379,1.3381555803409269,-1.3075987414442847,0,0.5216552296283323,False,True,False,True,False,False,False,True,False,False,False,False,True,False
19.220934341749807,72.90830820671754,1.0537098015657438,1.5966911275161413,0.7878272213985043,0.15820581379666065,-1.4815856673233725,0,-1.2109389457217892,True,False,False,True,False,True,False,False,True,False,False,False,True,False
19.202531644514657,72.93217224797738,0.9411801003255377,-0.8014415453276742,-0.7294076130079896,-0.46647347437383324,0.258283591467506,1,1.2435694693575496,False,False,False,False,True,False,False,True,True,False,False,False,False,True
19.04390077348481,72.92781300458257,0.014137980666332373,-1.5571232235871402,-0.8423067039373802,-0.11942942539022551,1.476192072621121,1,1.2435694693575496,True,False,False,False,True,True,False,False,False,True,False,False,True,False
19.15315797565868,72.84419431026126,1.1256113789333002,1.6352463151824406,1.0908468437196803,-0.39706466457711165,-0.7856379638070211,1,0.23288953373664545,True,False,False,False,False,False,False,True,False,True,False,False,False,False
19.01226959433813,72.84297291012912,-0.28769941820027944,1.6044021650494011,0.1641662642448341,-0.25824704498366857,0.08429666558841817,0,0.3772723816824889,True,False,False,False,True,False,False,True,False,True,False,False,True,False
19.04003321750129,72.92998230718615,1.1470649018370114,-0.9325291833930918,-1.0299179620751264,-1.0217439527476055,0.4322705173465939,0,-1.3553217936676327,True,False,False,True,False,False,False,True,False,True,True,False,True,False
19.22962998014147,72.97390541162683,0.9072407767188237,-0.9325291833930918,-1.72890399222926,0.15820581379666065,0.7802443691047696,1,0.6660380775741758,False,False,False,False,True,False,True,False,False,True,False,False,False,True
19.040263275458013,72.92148141677536,0.6326391202309981,-0.9556622959928713,1.613559009427054,1.3381555803409269,-0.7856379638070211,1,-0.20025901010088495,False,True,False,False,True,False,False,False,False,False,False,False,False,True
19.146409945496107,72.88168999120523,-0.5748834549572666,0.3012368219284853,-0.251934984013013,0.9911115313573191,-0.4376641120488454,0,-0.6334075539384153,True,False,False,False,False,False,True,False,False,True,False,False,True,False
19.11803755578484,72.88108460956312,0.4673746885425463,-1.6419446364529986,-0.36890841914094863,-0.39706466457711165,-0.4376641120488454,0,-1.3553217936676327,True,False,False,True,False,False,False,False,False,True,False,False,True,False
19.17594015160145,72.9557685564826,0.0382625187041217,-0.7243311699950756,-1.5643849152138904,-1.4381968115279349,-0.7856379638070211,0,1.5323351652492365,False,True,False,False,True,False,False,True,False,True,False,False,True,False
19.19621802391212,72.88226564360555,-0.11840668379790181,1.6506683902489603,1.3427443175891398,0.9911115313573191,-0.4376641120488454,0,-1.2109389457217892,True,False,False,False,True,False,False,False,True,False,False,False,True,False
