Latitude,Longitude,Timestamp,Weather,Road_Surface_Friction,Traffic_Density,HCV_Ratio,Road_Curvature,Lighting,Surface_Condition,Historical_Accident_Cause,News_Sentiment,Speed_Limit_Breaches,Rash_Driving_Incidents,Accident_Risk_Label
19.147668350751132,72.93530973562983,2023-10-26 05:42:50,Mist/Fog,0.3863545128728999,125,0.27474651912107223,Slight Curve,Night-Lit,Smooth,None,Positive (Safe),38,3,0
19.148922412534358,72.87642055812871,2023-10-16 14:16:18,Fine,0.7429476970172824,424,0.08920507275887102,Sharp Curve,Daylight,Minor Potholes,None,Neutral,31,11,0
19.186996073268272,72.94078309194074,2023-10-29 02:42:44,Fine,0.627215703073406,270,0.341447924351716,Slight Curve,Night-Unlit,Smooth,None,Neutral,11,6,0
19.25067561380931,72.88922407176928,2023-03-06 15:46:41,Heavy Rain,0.778173133295045,319,0.10055199105711474,Slight Curve,Night-Unlit,Minor Potholes,None,Neutral,44,2,0
19.220934341749807,72.90830820671754,2023-10-05 03:43:42,Fine,0.7000201616889532,483,0.3066488904179437,Slight Curve,Dusk,Severe Potholes,None,Neutral,27,1,0
19.202531644514657,72.93217224797738,2023-12-22 20:40:26,Dust Storm,0.6837713425140846,172,0.15246297916538598,Straight,Night-Unlit,Severe Potholes,None,Positive (Safe),18,11,1
19.04390077348481,72.92781300458257,2023-11-12 20:24:41,Fine,0.5499103297875412,74,0.14098983814609023,Straight,Dusk,Smooth,None,Neutral,23,18,1
19.15315797565868,72.84419431026126,2023-11-13 13:43:26,Fine,0.7104024493530727,488,0.33744264464470636,Sharp Curve,Night-Unlit,Smooth,None,Negative (Accident Prone),19,5,1
19.012269594338132,72.84297291012912,2023-04-03 14:39:25,Fine,0.5063262692209258,484,0.24327061118867965,Straight,Night-Unlit,Smooth,None,Neutral,21,10,0
19.04003321750129,72.92998230718615,2023-01-14 02:37:08,Fine,0.7135002485161772,155,0.12192422474121291,Slight Curve,Night-Unlit,Smooth,Potholes,Neutral,10,12,0
19.22962998014147,72.97390541162683,2023-08-22 16:53:40,Dust Storm,0.6788706458435614,155,0.050891187818961264,Straight,Night-Lit,Smooth,None,Positive (Safe),27,14,1
19.040263275458013,72.92148141677536,2023-05-12 10:20:37,Heavy Rain,0.6392193127980255,152,0.39056220778993045,Straight,Daylight,Minor Potholes,None,Positive (Safe),44,5,1
19.146409945496107,72.88168999120523,2023-05-10 07:09:21,Fine,0.4648580929817283,315,0.20098516619290901,Sharp Curve,Night-Lit,Smooth,None,Neutral,39,7,0
19.118037555784838,72.88108460956312,2023-11-02 02:49:44,Fine,0.61535581865428,63,0.18909797821215207,Slight Curve,Daylight,Smooth,None,Neutral,19,7,0
19.17594015160145,72.9557685564826,2023-08-24 22:19:13,Heavy Rain,0.5533938123875396,182,0.06761010517625174,Straight,Night-Unlit,Smooth,None,Neutral,4,5,0
19.19621802391212,72.88226564360555,2023-12-07 03:40:33,Fine,0.5307714334629549,490,0.363041214272837,Straight,Daylight,Severe Potholes,None,Neutral,39,7,0
19.19441162700097,72.8607219818458,2023-05-02 17:09:02,Fine,0.7951231666917378,71,0.09920569357801402,Sharp Curve,Night-Lit,Minor Potholes,None,Positive (Safe),6,16,1
19.218500419869052,72.92491010676993,2023-11-16 14:16:52,Fine,0.5521989149152351,124,0.16740949906343286,Sharp Curve,Daylight,Minor Potholes,None,Positive (Safe),21,6,1
19.113637263011114,72.86099410804975,2023-10-25 05:14:59,Fine,0.3159931027018335,334,0.19738636324503,Slight Curve,Daylight,Smooth,Potholes,Positive (Safe),36,18,0
19.1047790842593,72.97535327297106,2023-08-31 22:51:49,Heavy Rain,0.613233934540947,440,0.3335370120730234,Sharp Curve,Daylight,Minor Potholes,None,Negative (Accident Prone),40,2,1
18.93369472995927,72.961036202525,2023-01-09 01:02:41,Fine,0.664005422513819,293,0.17581332124924914,Slight Curve,Night-Unlit,Smooth,Speeding,Neutral,28,8,0
19.203297182907065,72.89453702648132,2023-02-22 23:27:57,Fine,0.742591934658372,305,0.23601188982348464,Slight Curve,Daylight,Minor Potholes,None,Negative (Accident Prone),11,16,0
19.140552635811076,72.93784644840916,2023-10-14 05:43:08,Heavy Rain,0.6163423633614135,195,0.20005601437455056,Straight,Night-Unlit,Minor Potholes,None,Neutral,28,8,0
19.118473763459786,72.88919502925106,2023-05-31 15:46:43,Fine,0.3097285585992544,464,0.1591456432953814,Straight,Night-Unlit,Minor Potholes,None,Positive (Safe),35,13,1
19.15651041018505,72.82858910577701,2023-02-20 11:02:22,Fine,0.359872167905596,476,0.3812060797181335,Straight,Dusk,Smooth,None,Neutral,34,0,1
19.105214931331357,72.94394094763894,2023-11-17 03:20:43,Heavy Rain,0.38062002457900684,261,0.32890688378927896,Straight,Daylight,Smooth,None,Neutral,42,5,1
19.200569998568923,72.93237534620005,2023-05-17 02:06:32,Fine,0.40563067651342183,298,0.11102353599117913,Straight,Night-Unlit,Severe Potholes,Speeding,Neutral,21,16,1
19.161966246241725,72.8905358239251,2023-04-03 15:02:54,Fine,0.6998884485775015,84,0.24414721721063315,Slight Curve,Daylight,Severe Potholes,None,Neutral,17,16,1
19.04558494310025,72.97420767084411,2023-08-10 05:39:13,Fine,0.45488002500458574,376,0.328796041678871,Straight,Daylight,Smooth,None,Neutral,21,4,1
19.079299006709533,72.84137801984248,2023-03-10 17:40:31,Mist/Fog,0.4561811613854303,302,0.2529264904200476,Straight,Night-Lit,Smooth,None,Neutral,18,16,1
18.979645338646716,72.97455062141375,2023-07-25 14:41:03,Fine,0.6777937204888641,399,0.22282275219857584,Straight,Dusk,Smooth,None,Positive (Safe),33,17,0
18.98797444021434,72.93781950600507,2023-10-04 00:32:00,Fine,0.506218287260678,309,0.07522078910395524,Slight Curve,Daylight,Smooth,None,Negative (Accident Prone),8,18,1
19.07340248747122,72.98569278200443,2023-07-06 15:49:23,Fine,0.3323197659769015,356,0.0871233409772749,Sharp Curve,Daylight,Minor Potholes,None,Neutral,9,18,0
18.99094464815564,72.93284741145638,2023-04-03 14:35:26,Mist/Fog,0.5925632228803175,399,0.1358338373202387,Sharp Curve,Night-Unlit,Minor Potholes,None,Neutral,18,17,0
19.223602256307505,72.86851721475493,2023-05-02 20:22:11,Fine,0.365033843252325,335,0.22968884191819566,Straight,Night-Unlit,Smooth,Speeding,Neutral,37,14,0
19.233461576092225,72.97577669375943,2023-03-20 09:09:20,Mist/Fog,0.5858321399845896,399,0.39555383959899126,Sharp Curve,Night-Lit,Minor Potholes,None,Positive (Safe),8,2,1
19.203029382099984,72.87403655481806,2023-09-09 21:10:11,Fine,0.6898190538109501,230,0.3307931672268842,Slight Curve,Dusk,Smooth,Speeding,Negative (Accident Prone),27,13,0
19.137212511019317,72.94183391748778,2023-03-30 00:56:14,Fine,0.7647448186636365,259,0.0885178501625046,Straight,Dusk,Smooth,None,Positive (Safe),29,0,0
19.18945322752822,72.95880837286944,2023-07-08 04:26:10,Heavy Rain,0.3335263034746193,159,0.30104078779459553,Slight Curve,Dusk,Smooth,None,Positive (Safe),24,16,1
18.923619261302992,72.92877153748576,2023-02-05 05:21:16,Fine,0.4519832918812453,379,0.3336649687104549,Slight Curve,Daylight,Smooth,None,Negative (Accident Prone),17,0,0
18.9215715822617,72.95613978355023,2023-04-22 19:14:57,Fine,0.6262319915039833,191,0.19499214741942372,Straight,Dusk,Minor Potholes,None,Neutral,25,16,0
